session,true_distance_m,sample_n,t_ms,d_mm,q_dbm
1,1.0,1,556191,779,-88.0
1,1.0,2,556240,572,-87.0
1,1.0,3,556288,769,-88.0
1,1.0,4,556337,784,-88.0
1,1.0,5,556386,549,-88.0
1,1.0,6,556455,737,-87.0
1,1.0,7,556504,765,-88.0
1,1.0,8,556552,769,-89.0
1,1.0,9,556601,769,-88.0
1,1.0,10,556649,784,-87.0
1,1.0,11,556698,765,-88.0
1,1.0,12,556747,784,-88.0
1,1.0,13,556830,765,-88.0
1,1.0,14,556913,680,-88.0
1,1.0,15,557019,755,-88.0
1,1.0,16,557067,769,-88.0
1,1.0,17,557116,755,-88.0
1,1.0,18,557165,769,-88.0
1,1.0,19,557213,765,-88.0
1,1.0,20,557262,760,-88.0
1,1.0,21,557311,793,-88.0
1,1.0,22,557408,760,-88.0
1,1.0,23,557457,760,-88.0
1,1.0,24,557506,788,-88.0
1,1.0,25,557554,774,-87.0
1,1.0,26,557603,751,-88.0
1,1.0,27,557652,357,-88.0
1,1.0,28,557700,788,-88.0
1,1.0,29,557749,779,-88.0
1,1.0,30,557798,798,-88.0
1,1.0,31,557846,572,-88.0
1,1.0,32,557895,760,-88.0
1,1.0,33,557958,727,-88.0
1,1.0,34,558007,788,-88.0
1,1.0,35,558055,774,-88.0
1,1.0,36,558104,779,-88.0
1,1.0,37,558152,765,-88.0
1,1.0,38,558201,746,-88.0
1,1.0,39,558504,784,-88.0
1,1.0,40,558635,765,-88.0
1,1.0,41,558684,769,-88.0
1,1.0,42,558733,610,-88.0
1,1.0,43,558781,774,-89.0
1,1.0,44,558830,582,-89.0
1,1.0,45,558900,760,-87.0
1,1.0,46,558994,619,-88.0
1,1.0,47,559064,779,-88.0
1,1.0,48,559134,596,-88.0
1,1.0,49,559241,769,-87.0
1,1.0,50,559311,755,-88.0
1,1.0,51,559394,746,-88.0
1,1.0,52,559540,652,-89.0
1,1.0,53,559799,784,-88.0
1,1.0,54,559882,769,-88.0
1,1.0,55,559984,802,-87.0
1,1.0,56,560067,779,-88.0
1,1.0,57,560164,765,-89.0
1,1.0,58,560213,784,-87.0
1,1.0,59,560261,793,-89.0
1,1.0,60,560310,765,-88.0
1,1.0,61,560380,760,-88.0
1,1.0,62,560508,779,-88.0
1,1.0,63,560591,774,-87.0
1,1.0,64,560674,774,-88.0
1,1.0,65,560722,765,-88.0
1,1.0,66,560771,741,-88.0
1,1.0,67,560820,779,-87.0
1,1.0,68,560868,755,-87.0
1,1.0,69,560917,751,-88.0
1,1.0,70,561024,779,-88.0
1,1.0,71,561094,338,-88.0
1,1.0,72,561177,755,-88.0
1,1.0,73,561343,784,-87.0
1,1.0,74,561391,774,-87.0
1,1.0,75,561501,765,-88.0
1,1.0,76,561550,769,-87.0
1,1.0,77,561599,769,-87.0
1,1.0,78,561682,788,-88.0
1,1.0,79,561765,784,-87.0
1,1.0,80,561871,755,-88.0
1,1.0,81,561919,798,-88.0
1,1.0,82,561968,774,-88.0
1,1.0,83,562017,737,-87.0
1,1.0,84,562066,755,-88.0
1,1.0,85,562114,629,-87.0
1,1.0,86,562163,774,-88.0
1,1.0,87,562212,779,-87.0
1,1.0,88,562260,751,-88.0
1,1.0,89,562309,774,-88.0
1,1.0,90,562358,596,-88.0
1,1.0,91,562462,788,-88.0
1,1.0,92,562566,357,-88.0
1,1.0,93,562670,366,-87.0
1,1.0,94,562753,760,-88.0
1,1.0,95,562823,540,-88.0
1,1.0,96,562893,746,-88.0
1,1.0,97,562996,760,-88.0
1,1.0,98,563079,774,-87.0
1,1.0,99,563149,572,-87.0
1,1.0,100,563256,774,-88.0
1,1.0,101,563409,746,-87.0
1,1.0,102,563588,610,-87.0
1,1.0,103,563671,760,-88.0
1,1.0,104,563720,774,-88.0
1,1.0,105,563769,774,-87.0
1,1.0,106,563818,765,-88.0
1,1.0,107,563997,727,-88.0
1,1.0,108,564067,769,-87.0
1,1.0,109,564174,765,-88.0
1,1.0,110,564257,601,-88.0
1,1.0,111,564327,774,-88.0
1,1.0,112,564397,774,-88.0
1,1.0,113,564486,812,-88.0
1,1.0,114,564557,755,-87.0
1,1.0,115,564710,760,-88.0
1,1.0,116,564888,774,-86.0
1,1.0,117,564936,760,-87.0
1,1.0,118,564985,788,-88.0
1,1.0,119,565034,784,-88.0
1,1.0,120,565082,755,-88.0
1,1.0,121,565131,751,-88.0
1,1.0,122,565214,755,-86.0
1,1.0,123,565297,422,-88.0
1,1.0,124,565403,760,-86.0
1,1.0,125,565471,591,-88.0
1,1.0,126,565520,765,-87.0
1,1.0,127,565568,502,-88.0
1,1.0,128,565651,699,-81.0
1,1.0,129,565734,554,-84.0
1,1.0,130,565817,816,-86.0
1,1.0,131,565865,460,-90.0
1,1.0,132,565914,680,-91.0
1,1.0,133,565985,310,-91.0
1,1.0,134,566034,638,-89.0
1,1.0,135,566104,676,-89.0
1,1.0,136,566281,671,-88.0
1,1.0,137,566388,666,-88.0
1,1.0,138,566528,671,-84.0
1,1.0,139,566598,704,-83.0
1,1.0,140,566705,723,-84.0
1,1.0,141,566778,774,-84.0
1,1.0,142,566848,657,-87.0
1,1.0,143,566918,694,-80.0
1,1.0,144,567008,591,-81.0
1,1.0,145,567078,282,-85.0
1,1.0,146,567148,413,-89.0
1,1.0,147,567218,427,-81.0
1,1.0,148,567384,840,-85.0
1,1.0,149,567467,943,-89.0
1,1.0,150,567550,723,-92.0
1,1.0,151,567598,474,-93.0
1,1.0,152,567647,812,-91.0
1,1.0,153,567696,1290,-91.0
1,1.0,154,567744,732,-95.0
1,1.0,155,567793,558,-94.0
1,1.0,156,567876,521,-92.0
1,1.0,157,567959,638,-92.0
1,1.0,158,568042,896,-93.0
1,1.0,159,568090,1084,-92.0
1,1.0,160,568139,1084,-91.0
1,1.0,161,568188,1126,-90.0
1,1.0,162,568236,1253,-89.0
1,1.0,163,568285,1271,-89.0
1,1.0,164,568334,1253,-89.0
1,1.0,165,568382,1262,-89.0
1,1.0,166,568431,1267,-89.0
1,1.0,167,568563,1168,-90.0
1,1.0,168,568667,1107,-91.0
1,1.0,169,568771,1154,-91.0
1,1.0,170,568888,1070,-91.0
1,1.0,171,568971,1154,-92.0
1,1.0,172,569078,1173,-92.0
1,1.0,173,569126,1013,-93.0
1,1.0,174,569175,826,-94.0
1,1.0,175,569224,769,-93.0
1,1.0,176,569272,802,-95.0
1,1.0,177,569404,1304,-91.0
1,1.0,178,569582,802,-92.0
1,1.0,179,569630,1098,-89.0
1,1.0,180,569679,1051,-92.0
1,1.0,181,569728,1149,-90.0
1,1.0,182,569776,1182,-91.0
1,1.0,183,569825,1225,-90.0
1,1.0,184,569874,1225,-89.0
1,1.0,185,569922,1149,-91.0
1,1.0,186,569993,1135,-90.0
1,1.0,187,570042,1201,-91.0
1,1.0,188,570090,1159,-91.0
1,1.0,189,570207,1182,-91.0
1,1.0,190,570324,1112,-92.0
1,1.0,191,570441,1178,-91.0
1,1.0,192,570494,1206,-90.0
1,1.0,193,570543,1271,-91.0
1,1.0,194,570591,1351,-91.0
1,1.0,195,570640,1271,-89.0
1,1.0,196,570689,1084,-90.0
1,1.0,197,570737,1286,-88.0
1,1.0,198,570786,1215,-89.0
1,1.0,199,570835,1337,-90.0
1,1.0,200,570883,1225,-91.0
1,1.0,201,570932,1318,-88.0
1,1.0,202,570995,943,-91.0
1,1.0,203,571044,1286,-90.0
1,1.0,204,571092,1178,-91.0
1,1.0,205,571141,1018,-91.0
1,1.0,206,571190,657,-91.0
1,1.0,207,571287,1318,-89.0
1,1.0,208,571336,1248,-90.0
1,1.0,209,571384,1286,-90.0
1,1.0,210,571433,1262,-91.0
1,1.0,211,571530,1267,-91.0
1,1.0,212,571613,1196,-91.0
1,1.0,213,571696,1046,-92.0
1,1.0,214,571744,1056,-92.0
1,1.0,215,571793,1403,-92.0
1,1.0,216,571842,1178,-92.0
1,1.0,217,571890,1286,-92.0
1,1.0,218,571939,1173,-92.0
1,1.0,219,571997,1079,-91.0
1,1.0,220,572046,1210,-91.0
1,1.0,221,572094,1229,-91.0
1,1.0,222,572192,1225,-91.0
1,1.0,223,572240,1201,-91.0
1,1.0,224,572289,1243,-91.0
1,1.0,225,572338,1220,-91.0
1,1.0,226,572386,1267,-91.0
1,1.0,227,572435,1220,-91.0
1,1.0,228,572498,1145,-91.0
1,1.0,229,572547,1210,-91.0
1,1.0,230,572653,1145,-92.0
1,1.0,231,572736,1239,-92.0
1,1.0,232,572842,1403,-92.0
1,1.0,233,572890,1347,-91.0
1,1.0,234,572939,1304,-91.0
1,1.0,235,572999,1182,-91.0
1,1.0,236,573048,1145,-90.0
1,1.0,237,573096,1210,-91.0
1,1.0,238,573242,1276,-90.0
1,1.0,239,573291,1196,-90.0
1,1.0,240,573339,1178,-92.0
1,1.0,241,573388,1126,-93.0
1,1.0,242,573437,1173,-92.0
1,1.0,243,573500,1079,-90.0
1,1.0,244,573549,1121,-90.0
1,1.0,245,573597,971,-91.0
1,1.0,246,573646,906,-91.0
1,1.0,247,573695,1304,-90.0
1,1.0,248,573743,1271,-89.0
1,1.0,249,573792,1112,-90.0
1,1.0,250,573841,990,-91.0
1,1.0,251,573924,1300,-89.0
1,1.0,252,574026,1276,-91.0
1,1.0,253,574109,1192,-88.0
1,1.0,254,574157,1154,-88.0
1,1.0,255,574206,1210,-90.0
1,1.0,256,574255,962,-91.0
1,1.0,257,574303,1084,-91.0
1,1.0,258,574352,962,-90.0
1,1.0,259,574401,891,-90.0
1,1.0,260,574449,1056,-90.0
1,1.0,261,574506,1239,-91.0
1,1.0,262,574555,1201,-91.0
1,1.0,263,574603,1051,-89.0
1,1.0,264,574652,985,-94.0
1,1.0,265,574701,877,-90.0
1,1.0,266,574749,1121,-91.0
1,1.0,267,574798,1060,-91.0
1,1.0,268,574847,1079,-92.0
1,1.0,269,574895,1135,-90.0
1,1.0,270,574944,840,-89.0
1,1.0,271,575041,769,-88.0
1,1.0,272,575124,1046,-89.0
1,1.0,273,575207,840,-89.0
1,1.0,274,575255,934,-89.0
1,1.0,275,575304,924,-89.0
1,1.0,276,575353,1051,-89.0
1,1.0,277,575401,1065,-89.0
1,1.0,278,575450,1065,-89.0
1,1.0,279,575508,976,-89.0
1,1.0,280,575557,1065,-90.0
1,1.0,281,575605,990,-90.0
1,1.0,282,575751,1159,-95.0
1,1.0,283,575800,957,-91.0
1,1.0,284,575849,1027,-94.0
1,1.0,285,575897,1225,-93.0
1,1.0,286,575946,1154,-93.0
1,1.0,287,576009,1131,-93.0
1,1.0,288,576058,1027,-92.0
1,1.0,289,576106,1027,-93.0
1,1.0,290,576155,957,-93.0
1,1.0,291,576204,957,-94.0
1,1.0,292,576287,1051,-94.0
1,1.0,293,576370,1135,-90.0
1,1.0,294,576453,1117,-89.0
1,1.0,295,576510,1103,-90.0
1,1.0,296,576559,1210,-91.0
1,1.0,297,576607,1243,-91.0
1,1.0,298,576656,1201,-93.0
1,1.0,299,576705,1225,-94.0
1,1.0,300,576753,1164,-92.0
1,1.0,301,576802,1164,-94.0
1,1.0,302,576851,1164,-95.0
1,1.0,303,576899,1131,-94.0
1,1.0,304,576948,1121,-93.0
1,1.0,305,577011,1032,-92.0
1,1.0,306,577218,1065,-91.0
1,1.0,307,577267,1032,-92.0
1,1.0,308,577316,934,-90.0
1,1.0,309,577399,929,-89.0
1,1.0,310,577482,887,-90.0
1,1.0,311,577565,952,-91.0
1,1.0,312,577613,873,-93.0
1,1.0,313,577662,845,-94.0
1,1.0,314,577711,877,-94.0
1,1.0,315,577759,830,-93.0
1,1.0,316,577905,1187,-94.0
1,1.0,317,577954,1117,-94.0
1,1.0,318,578013,821,-94.0
1,1.0,319,578110,845,-94.0
1,1.0,320,578159,887,-93.0
1,1.0,321,578208,845,-94.0
1,1.0,322,578256,807,-94.0
1,1.0,323,578305,751,-95.0
1,1.0,324,578354,741,-95.0
1,1.0,325,578402,746,-95.0
1,1.0,326,578451,779,-95.0
1,1.0,327,578514,793,-94.0
1,1.0,328,578563,798,-94.0
1,1.0,329,578633,784,-93.0
1,1.0,330,578975,1103,-91.0
1,1.0,331,579023,1088,-89.0
1,1.0,332,579072,1107,-90.0
1,1.0,333,579121,999,-92.0
1,1.0,334,579170,1079,-93.0
1,1.0,335,579218,952,-99.0
1,1.0,336,579325,896,-94.0
1,1.0,337,579491,1281,-90.0
1,1.0,338,579539,1168,-95.0
1,1.0,339,579637,1178,-92.0
1,1.0,340,579685,1300,-94.0
1,1.0,341,579734,1229,-97.0
1,1.0,342,579783,1351,-98.0
1,1.0,343,579832,1337,-96.0
1,1.0,344,579938,1318,-96.0
1,1.0,345,600154,1206,-93.0
1,1.0,346,600224,1210,-93.0
1,1.0,347,600294,1234,-93.0
1,1.0,348,600364,1215,-93.0
1,1.0,349,600434,1215,-93.0
1,1.0,350,600598,1196,-93.0
1,1.0,351,600682,1225,-93.0
1,1.0,352,600848,1206,-93.0
1,1.0,353,600896,1253,-93.0
1,1.0,354,600945,1210,-93.0
1,1.0,355,600994,1220,-93.0
1,1.0,356,601064,1276,-93.0
1,1.0,357,601196,1243,-93.0
1,1.0,358,601279,1215,-93.0
1,1.0,359,601386,1220,-93.0
1,1.0,360,601483,1215,-93.0
1,1.0,361,601532,1243,-93.0
1,1.0,362,601581,1206,-93.0
1,1.0,363,601629,1248,-93.0
1,1.0,364,601699,1206,-93.0
1,1.0,365,601770,1215,-93.0
1,1.0,366,601853,1229,-93.0
1,1.0,367,601960,1243,-93.0
1,1.0,368,602030,1173,-93.0
1,1.0,369,602136,1201,-93.0
1,1.0,370,602253,1187,-93.0
1,1.0,371,602357,1225,-93.0
1,1.0,372,602485,1192,-93.0
1,1.0,373,602612,1192,-93.0
1,1.0,374,602716,1178,-93.0
1,1.0,375,602833,1239,-93.0
1,1.0,376,602939,1248,-93.0
1,1.0,377,603022,1234,-93.0
1,1.0,378,603192,1229,-93.0
1,1.0,379,603262,1229,-93.0
1,1.0,380,603346,1201,-93.0
1,1.0,381,603651,1267,-93.0
1,1.0,382,603734,1243,-93.0
1,1.0,383,603840,1178,-94.0
1,1.0,384,603888,1192,-93.0
1,1.0,385,603937,1229,-93.0
1,1.0,386,603986,1215,-93.0
1,1.0,387,604056,1220,-93.0
1,1.0,388,604139,1206,-93.0
1,1.0,389,604230,1201,-93.0
1,1.0,390,604487,1192,-93.0
1,1.0,391,604710,1257,-93.0
1,1.0,392,604780,1248,-93.0
1,1.0,393,604850,1215,-93.0
1,1.0,394,604990,1220,-93.0
1,1.0,395,605212,1168,-93.0
1,1.0,396,605329,1243,-93.0
1,1.0,397,605412,1243,-93.0
1,1.0,398,605460,1196,-93.0
1,1.0,399,605509,1239,-93.0
1,1.0,400,605577,1243,-93.0
1,1.0,401,605626,1206,-93.0
1,1.0,402,605709,1220,-93.0
1,1.0,403,605850,1201,-93.0
1,1.0,404,605991,1248,-93.0
1,1.0,405,606061,1229,-93.0
1,1.0,406,606144,1215,-93.0
1,1.0,407,606214,1234,-93.0
1,1.0,408,606297,1239,-94.0
1,1.0,409,606380,1253,-93.0
1,1.0,410,606463,1253,-93.0
1,1.0,411,606511,1178,-93.0
1,1.0,412,606580,1286,-93.0
1,1.0,413,606713,1220,-93.0
1,1.0,414,606796,1267,-93.0
1,1.0,415,607053,1243,-93.0
1,1.0,416,607123,1210,-94.0
1,1.0,417,607193,1187,-93.0
1,1.0,418,607276,1206,-93.0
1,1.0,419,607359,1243,-93.0
1,1.0,420,607429,1267,-93.0
1,1.0,421,607536,1253,-93.0
1,1.0,422,607844,1210,-93.0
1,1.0,423,607914,1220,-93.0
1,1.0,424,607984,1220,-93.0
1,1.0,425,608091,1225,-93.0
1,1.0,426,608161,1206,-93.0
1,1.0,427,608244,1196,-93.0
1,1.0,428,608327,1229,-93.0
1,1.0,429,608410,1192,-93.0
1,1.0,430,608458,1257,-93.0
1,1.0,431,608507,1210,-93.0
1,1.0,432,608556,1192,-93.0
1,1.0,433,608605,1267,-93.0
1,1.0,434,608711,1234,-93.0
1,1.0,435,608828,1234,-93.0
1,1.0,436,608969,1206,-93.0
1,1.0,437,609052,1248,-93.0
1,1.0,438,609101,1210,-93.0
1,1.0,439,609150,1257,-93.0
1,1.0,440,609198,1248,-93.0
1,1.0,441,609247,1192,-93.0
1,1.0,442,609296,1210,-93.0
1,1.0,443,609344,1206,-93.0
1,1.0,444,609393,1239,-93.0
1,1.0,445,609442,1239,-93.0
1,1.0,446,609490,1243,-93.0
1,1.0,447,609539,1239,-93.0
1,1.0,448,609636,1159,-93.0
1,1.0,449,609719,1225,-93.0
1,1.0,450,609802,1239,-93.0
1,1.0,451,609850,1206,-93.0
1,1.0,452,609899,1276,-93.0
1,1.0,453,609948,1239,-93.0
1,1.0,454,609996,1196,-93.0
1,1.0,455,610045,1248,-93.0
1,1.0,456,610103,1154,-93.0
1,1.0,457,610152,1281,-93.0
1,1.0,458,610200,1229,-93.0
1,1.0,459,610249,1257,-93.0
1,1.0,460,610298,1262,-93.0
1,1.0,461,610395,1234,-93.0
1,1.0,462,610444,1243,-93.0
1,1.0,463,610492,1248,-93.0
1,1.0,464,610541,1210,-93.0
1,1.0,465,610604,1140,-93.0
1,1.0,466,610653,1225,-93.0
1,1.0,467,610701,1239,-93.0
1,1.0,468,610750,1239,-93.0
1,1.0,469,610799,1234,-93.0
1,1.0,470,610882,1253,-93.0
1,1.0,471,611084,1234,-94.0
1,1.0,472,611132,1257,-93.0
1,1.0,473,611181,1196,-93.0
1,1.0,474,611230,1243,-93.0
1,1.0,475,611300,1248,-93.0
1,1.0,476,611383,1262,-93.0
1,1.0,477,611466,1267,-93.0
1,1.0,478,611549,1229,-93.0
1,1.0,479,611606,1182,-93.0
1,1.0,480,611655,1229,-93.0
1,1.0,481,611703,1234,-93.0
1,1.0,482,611752,1206,-93.0
1,1.0,483,611801,1243,-93.0
1,1.0,484,611871,1248,-93.0
1,1.0,485,612060,1229,-93.0
1,1.0,486,612167,1220,-93.0
1,1.0,487,612215,1196,-93.0
1,1.0,488,612264,1248,-93.0
1,1.0,489,612313,1262,-93.0
1,1.0,490,612361,1196,-93.0
1,1.0,491,612578,1248,-93.0
1,1.0,492,612648,1225,-93.0
1,1.0,493,612718,1187,-93.0
1,1.0,494,612788,1243,-93.0
1,1.0,495,612871,1215,-93.0
1,1.0,496,612954,1215,-93.0
1,1.0,497,613024,1206,-93.0
1,1.0,498,613117,1257,-93.0
1,1.0,499,613200,1271,-93.0
1,1.0,500,613306,1229,-93.0
